
  Obs     Name  Sex  Age  Height  Weight            BMI
-----  -------  ---  ---  ------  ------  -------------
    1  Amir     M     13    61.2      95  17.8310158486
    2  Bethany  F     14    63.8     105  18.1344031603
    3  Carlos   M     12    58.5      88  18.0769961283
    4  Diana    F     11      53    62.5  15.6416874333
    5  Ethan    M     15      68     130  19.7642733564
    6  Fiona    F     13    60.5      92  17.6698312957
    7  George   M     14    65.5     115  18.8438902162
    8  Hannah   F     12      57      78  16.8771929825
    9  Ivan     M     11    55.8      72  16.2562145913
   10  Julia    F     15      64     108  18.5361328125
   11  Kevin    M     16    70.5     145  20.5090287209
   12  Lily     F     14      62    97.5  17.8310353798
   13  Marco    M     12    59.3      85  16.9927967945
   14  Nadia    F     13    61.8      93  17.1183272065
   15  Oscar    M     15    67.2     128  19.9263038549
   16  Priya    F     12    55.5      75  17.1171171171
   17  Quinn    M     13      63     100  17.7122700932
   18  Rosa     F     11    52.5      58  14.7932879819
   19  Samuel   M     14      66     120  19.3663911846

